,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
104,2020-05-05,1641.1841359350815,1408.8076352061385,1916.7219603166457,1641.1841359350815,1641.1841359350815,18.096383752609487,18.096383752609487,18.096383752609487,18.096383752609487,18.096383752609487,18.096383752609487,0.0,0.0,0.0,1659.280519687691
105,2020-05-06,1748.7593196584476,1521.5727914455363,2018.0158165493513,1748.7593196584476,1748.7593196584476,11.14477073816008,11.14477073816008,11.14477073816008,11.14477073816008,11.14477073816008,11.14477073816008,0.0,0.0,0.0,1759.9040903966077
106,2020-05-07,1856.3345033818166,1612.9062343735243,2105.2019239666893,1856.3345033818166,1856.3345033818166,6.682749147915077,6.682749147915077,6.682749147915077,6.682749147915077,6.682749147915077,6.682749147915077,0.0,0.0,0.0,1863.0172525297316
107,2020-05-08,1963.9096871051827,1726.5216813320499,2222.731898750439,1963.9096871051827,1963.9096871051827,6.098216584014574,6.098216584014574,6.098216584014574,6.098216584014574,6.098216584014574,6.098216584014574,0.0,0.0,0.0,1970.0079036891973
108,2020-05-09,2071.4848708285517,1832.6002756518478,2333.633138771489,2071.4848708285517,2071.4848708285517,4.209387904171441,4.209387904171441,4.209387904171441,4.209387904171441,4.209387904171441,4.209387904171441,0.0,0.0,0.0,2075.694258732723
109,2020-05-10,2179.0600545519196,1926.205127696297,2417.182930216129,2179.0600545519196,2179.0600545519196,-0.0488670840081257,-0.0488670840081257,-0.0488670840081257,-0.0488670840081257,-0.0488670840081257,-0.0488670840081257,0.0,0.0,0.0,2179.0111874679114
110,2020-05-11,2296.980352360217,2018.1019829316197,2494.679852652707,2296.980352360217,2296.980352360217,-46.182641042980244,-46.182641042980244,-46.182641042980244,-46.182641042980244,-46.182641042980244,-46.182641042980244,0.0,0.0,0.0,2250.7977113172365
111,2020-05-12,2414.900650168512,2188.154525730809,2670.0784897236317,2414.900650168512,2414.900650168512,18.096383752673212,18.096383752673212,18.096383752673212,18.096383752673212,18.096383752673212,18.096383752673212,0.0,0.0,0.0,2432.9970339211854
112,2020-05-13,2532.8209479768107,2311.713819038826,2793.325617420433,2532.8209479768107,2532.8209479768107,11.144770738205652,11.144770738205652,11.144770738205652,11.144770738205652,11.144770738205652,11.144770738205652,0.0,0.0,0.0,2543.9657187150165
113,2020-05-14,2650.741245785106,2413.3968845332743,2901.7121676189745,2650.741245785106,2650.741245785106,6.68274914787697,6.68274914787697,6.68274914787697,6.68274914787697,6.68274914787697,6.68274914787697,0.0,0.0,0.0,2657.423994932983
